Filename,UnifiedQualityScore,BackgroundUniformity,IlluminationUniformity,LuminanceMean,LuminanceVariance,UnderExposurePrevention,OverExposurePrevention,DynamicRange,Sharpness,CompressionArtifacts,NaturalColour,SingleFacePresent,EyesOpen,MouthClosed,EyesVisible,MouthOcclusionPrevention,FaceOcclusionPrevention,InterEyeDistance,HeadSize,LeftwardCropOfTheFaceImage,RightwardCropOfTheFaceImage,MarginAboveOfTheFaceImage,MarginBelowOfTheFaceImage,HeadPoseYaw,HeadPosePitch,HeadPoseRoll,ExpressionNeutrality,NoHeadCoverings,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,CompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfTheFaceImage.scalar,RightwardCropOfTheFaceImage.scalar,MarginAboveOfTheFaceImage.scalar,MarginBelowOfTheFaceImage.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,assessment_time_in_ms,brightness_group_pc1,brightness_group_pc2,occlusion_group_pc1,occlusion_group_pc2,margin_group_pc1,margin_group_pc2,brightness_group_pc1_scaled,brightness_group_pc2_scaled,occlusion_group_pc1_scaled,occlusion_group_pc2_scaled,margin_group_pc1_scaled,margin_group_pc2_scaled
C:/Users/Eddy/Downloads/images_for_ofiq_2026/CelebA/test/000001.jpg,22.623146,44.810166,0.450572,0.52622,0.053256,0.047974,0.001819,7.74123,47,0.874958,0,0,0.088036,0.1001,0,0,0.025927,84.881155,0.222442,3.172202,3.120411,1.217743,3.280049,-24.508384,21.576672,13.574823,-11226.68262,0,46,79,79,99,68,100,85,97,100,100,100,100,100,84,100,100,97,68,2,100,100,14,100,83,86,94,22,100,312,-22.55959112,23.43893084,-5.68871105,-0.26777475,14.93801889,-40.97748013,0.029873186,0.464961456,0.008135089,0.209422954,0.368252759,0.073392274
C:/Users/Eddy/Downloads/images_for_ofiq_2026/CelebA/test/000002.jpg,24.552317,50.809587,0.617998,0.333734,0.032079,0.107716,0,7.47428,46,0.935663,0,0,0.095663,0.142833,0,0,0.009048,82.989868,0.247797,2.843197,3.64812,1.426461,2.608385,-21.85375,9.131872,1.990064,-15189.34473,0,64,76,87,94,88,100,100,93,100,100,100,100,100,72,100,100,99,66,3,100,100,57,100,86,97,100,12,100,294,-20.26355851,3.071819888,-6.491991692,-1.012019311,-14.62340196,-10.13064197,0.046970551,0.262103962,0.002711696,0.203358837,0.187966252,0.292087203
C:/Users/Eddy/Downloads/images_for_ofiq_2026/CelebA/test/000003.jpg,13.41284,49.806422,0.279778,0.210248,0.004634,0.004886,0,5.370378,41,0.901839,0,0,0.028303,0.11571,0.136555,0.038073,0.106693,36.192206,0.206314,14.555556,14.222222,1.793904,3.053086,60.175522,32.607289,-33.413351,-6607.427734,0,2,76,68,55,63,100,100,67,99,100,100,100,70,80,86,96,89,16,2,100,100,98,100,25,71,70,42,100,290,27.38572319,21.56286984,10.79403809,1.652315317,-43.42485124,18.92119716,0.401790057,0.44627579,0.11941926,0.22506788,0.012314591,0.498056122
C:/Users/Eddy/Downloads/images_for_ofiq_2026/CelebA/test/000004.jpg,16.202539,3.545302,0.387097,0.361539,0.023819,0.026982,0,7.200936,47,0.946074,0,0,0.022249,0.005406,0.589542,0.017868,0.157729,247.714384,0.150136,4.775799,4.222505,1.411058,5.249569,33.720076,30.436916,-18.502734,2006.98291,0,7,98,75,96,96,100,100,90,100,100,100,100,56,96,41,98,84,100,0,100,100,53,100,69,74,90,80,100,323,-22.85096817,-4.260880272,53.02090816,-12.80690181,-12.78864855,-13.53622001,0.027703452,0.189069883,0.404516255,0.10725394,0.19915588,0.267942665
C:/Users/Eddy/Downloads/images_for_ofiq_2026/CelebA/test/000005.jpg,15.857387,95.969044,0.018006,0.426675,0.05915,0.170158,0,7.243264,36,0.892032,0,0,0.087283,0.040459,0,0,0.000598,54.988196,0.094625,6.008495,6.155044,2.13664,8.431413,-6.904843,-20.320152,4.516731,7481.671387,0,6,57,30,99,64,100,100,91,98,100,100,100,100,93,100,100,100,32,0,100,100,100,100,99,88,99,92,100,314,-20.48454901,27.65109611,-6.893632013,-1.384141592,-45.44406398,19.97851609,0.045324949,0.506914843,0,0.200326779,0,0.505552199
C:/Users/Eddy/Downloads/images_for_ofiq_2026/CelebA/test/000006.jpg,23.973375,92.086371,0.078972,0.269765,0.019177,0.114222,0,7.105316,46,0.894451,0,0,0.091633,0.095337,0,0,0.006046,60.784451,0.180082,4.416229,3.594605,1.549723,4.029279,16.030332,7.462046,-8.441428,-2797.20166,0,59,58,47,80,99,100,100,89,100,100,100,100,100,85,100,100,99,39,1,100,100,82,100,92,98,98,61,100,307,-7.810322332,-10.14521069,-6.491991692,-1.012019311,-32.62292437,7.327505268,0.139703346,0.130461643,0.002711696,0.203358837,0.078192401,0.415860286
C:/Users/Eddy/Downloads/images_for_ofiq_2026/CelebA/test/000007.jpg,29.405861,152.241272,0.577932,0.301773,0.025058,0.098997,0,7.298881,45,0.910794,0,0,0.081817,0.007198,0,0,0.006547,76.672853,0.277872,2.652519,2.704785,1.43747,2.174263,-3.48532,6.804017,5.566035,7169.558105,0,92,37,85,88,95,100,100,91,100,100,100,100,100,96,100,100,99,58,6,100,100,59,98,100,99,99,92,100,294,-15.25100449,-4.821766027,-6.491991692,-1.012019311,-13.77526837,-6.798437797,0.084296443,0.183483432,0.002711696,0.203358837,0.193138772,0.315711542
C:/Users/Eddy/Downloads/images_for_ofiq_2026/CelebA/test/000008.jpg,26.958624,49.21778,0.505859,0.298558,0.01953,0.065166,0,7.152036,44,0.907229,0,0.515103,0.081567,0,0,0,0.016395,67.275811,0.132988,5.231291,5.506622,1.743687,5.803868,-13.649272,15.368692,-3.564831,11554.8877,0,82,77,82,88,99,100,100,89,99,100,100,48,100,97,100,100,98,47,0,100,100,97,100,94,93,100,96,100,282,-15.47117336,-8.650961635,-6.090351371,-0.63989703,-43.35967576,17.83927762,0.082656959,0.145344442,0.005423393,0.206390896,0.012712077,0.490385633
C:/Users/Eddy/Downloads/images_for_ofiq_2026/CelebA/test/000009.jpg,25.166595,54.641288,0.338843,0.27597,0.01592,0.083456,1.90E-05,6.992426,48,0.930779,0,0,0.090551,0.079692,0,0,0.017608,139.523104,0.119044,6.265979,4.606902,1.894139,6.50559,14.604843,14.024569,-2.002652,-15240.16699,0,70,74,72,82,100,100,100,87,100,100,100,100,100,88,100,100,98,97,0,100,100,99,100,94,94,100,11,100,314,-9.432788575,-10.65714051,-6.090351371,-0.63989703,-44.7492679,19.2654366,0.127621681,0.125362795,0.005423393,0.206390896,0.004237359,0.500496677
C:/Users/Eddy/Downloads/images_for_ofiq_2026/CelebA/test/000010.jpg,25.935026,14.354215,0.166531,0.238355,0.021109,0.224361,0,7.006002,42,0.917931,0,0,0.093173,0.007315,0,0,0.079083,79.573477,0.230157,3.257411,2.993296,1.572,2.791402,2.270514,6.650193,7.810254,-4111.684082,0,76,93,58,68,98,100,100,88,99,100,100,100,100,96,100,100,92,62,2,100,100,85,100,100,99,98,54,100,301,4.083785169,-11.35747855,-3.680509446,1.592836654,-34.39250229,9.651163767,0.228272601,0.118387392,0.021693571,0.224583247,0.06740026,0.432334336
