Filename,UnifiedQualityScore,BackgroundUniformity,IlluminationUniformity,LuminanceMean,LuminanceVariance,UnderExposurePrevention,OverExposurePrevention,DynamicRange,Sharpness,CompressionArtifacts,NaturalColour,SingleFacePresent,EyesOpen,MouthClosed,EyesVisible,MouthOcclusionPrevention,FaceOcclusionPrevention,InterEyeDistance,HeadSize,LeftwardCropOfTheFaceImage,RightwardCropOfTheFaceImage,MarginAboveOfTheFaceImage,MarginBelowOfTheFaceImage,HeadPoseYaw,HeadPosePitch,HeadPoseRoll,ExpressionNeutrality,NoHeadCoverings,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,CompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfTheFaceImage.scalar,RightwardCropOfTheFaceImage.scalar,MarginAboveOfTheFaceImage.scalar,MarginBelowOfTheFaceImage.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,assessment_time_in_ms,brightness_group_pc1,brightness_group_pc2,occlusion_group_pc1,occlusion_group_pc2,margin_group_pc1,margin_group_pc2,brightness_group_pc1_scaled,brightness_group_pc2_scaled,occlusion_group_pc1_scaled,occlusion_group_pc2_scaled,margin_group_pc1_scaled,margin_group_pc2_scaled
C:/Users/Eddy/Downloads/images_for_ofiq_2026/FlickrFacesHQ/test/02000.png,19.276934,169.285714,0.758367,0.311183,0.028036,0.083572,0.0,7.241524,30,0.995645,9.8308,0.0,0.080187,0.105079,0.0,0.0,0.076823,258.218917,0.446092,2.487699,2.47995,1.083628,1.158059,-1.947552,-0.711294,-1.88264,-12498.39453,0.0,19,32,92,90,92,100,100,91,97,100,54,100,100,83,100,100,92,100,96,100,100,4,0,100,100,100,18,100,305,-22.99487822887658,-2.906649070116623,-6.236286192543084,-0.17403518421703376,-23.09514805113485,5.82263055446701,0.0917348522007887,0.154556460554772,0.020656656498433103,0.049066670339953745,0.03263050170686138,0.33694210597767404
C:/Users/Eddy/Downloads/images_for_ofiq_2026/FlickrFacesHQ/test/02001.png,25.276104,68.665812,0.278237,0.244655,0.029344,0.231022,0.0,7.253862,50,0.994521,0.0,0.0,0.054732,0.14503,0.0,0.0,0.01037,257.252742,0.493803,2.47843,2.505666,0.977942,1.049209,-2.450415,11.034082,0.780175,-13553.91602,0.0,71,68,68,71,91,100,100,91,100,100,100,100,97,71,100,100,99,100,59,100,100,1,0,100,96,100,15,100,286,-4.3341512517485326,-3.463751894996108,-8.183195394869232,-1.9743167803399782,9.887724070561086,-11.125028402151678,0.2627336418351102,0.14847427124474885,0.0025852809452147213,0.032616062754613526,0.2970263608647259,0.15242074699034394
C:/Users/Eddy/Downloads/images_for_ofiq_2026/FlickrFacesHQ/test/02002.png,26.15757,15.173312,0.271809,0.345594,0.024183,0.035182,0.000245,7.313427,49,0.995344,0.0,0.0,0.056337,0.105268,0.0,0.0,0.018605,261.980778,0.477557,2.517767,2.529625,0.998856,1.097104,-15.043897,-0.757864,-1.613235,-15156.47559,0.0,77,93,68,95,96,100,98,91,100,100,100,100,97,83,100,100,98,100,73,100,100,2,0,93,100,100,12,100,288,-28.191695906907743,-6.483691835676839,-7.905065508822624,-1.7171336951795826,-2.6437995644145316,-4.833492802217339,0.0441134742135984,0.11550397275794118,0.005166906024246062,0.03496614955251904,0.19657170834685112,0.2209212226010871
C:/Users/Eddy/Downloads/images_for_ofiq_2026/FlickrFacesHQ/test/02003.png,18.19788,217.807301,0.622617,0.12998,0.004981,0.366105,0.0,6.050268,25,0.976846,0.0,0.0,0.087615,0.091438,0.020523,0.17335,0.115854,255.160964,0.371508,2.512161,2.500404,1.300135,1.394882,-0.237385,4.721702,-0.68928,-12584.52051,0.0,14,21,87,20,66,100,100,76,96,100,100,100,100,86,98,83,88,100,34,100,100,27,2,100,99,100,18,100,304,50.3657879196434,17.563624776651313,-3.206027572005521,17.08572939834515,42.983985755127904,2.9788664110078704,0.7639801046788952,0.3780413814775697,0.04878377279624707,0.20678289361000138,0.5623311684848155,0.30597999930950837
C:/Users/Eddy/Downloads/images_for_ofiq_2026/FlickrFacesHQ/test/02004.png,25.571135,48.319169,0.670204,0.358894,0.03755,0.074971,0.0,7.553586,49,0.995033,0.0,0.0,0.057829,0.003236,0.0,0.0,0.003952,249.765192,0.426839,2.578609,2.566465,1.123332,1.219421,-8.483455,12.081124,0.092908,-13819.63086,0.0,73,77,89,96,82,100,100,94,100,100,100,100,98,96,100,100,100,100,77,100,100,6,0,98,96,100,15,100,298,-28.678357698052398,7.4914952149522716,-8.461325280915837,-2.231499865500439,-4.808226758714967,0.2923920284026721,0.039653917126191984,0.268078559510931,3.655866183407963e-06,0.030265975956707408,0.17922132159125756,0.2767304194571025
C:/Users/Eddy/Downloads/images_for_ofiq_2026/FlickrFacesHQ/test/02005.png,26.394014,43.503713,0.108997,0.141178,0.005802,0.336113,0.0,6.209995,40,0.973634,0.0,0.0,0.069483,0.080585,0.0,0.0,0.018962,246.50817,0.424316,2.577044,2.585174,1.138249,1.221198,3.612749,2.607196,-0.260917,-14639.52637,0.0,79,79,51,24,73,100,100,78,99,100,100,100,99,88,100,100,98,100,75,100,100,7,0,100,100,100,13,100,311,45.530454466601384,10.877305973872463,-7.905065508822624,-1.7171336951795828,-2.582314287351497,0.4176945301470477,0.7196712109813475,0.3050432652779869,0.005166906024246062,0.03496614955251904,0.19706458393981524,0.27809467796416637
C:/Users/Eddy/Downloads/images_for_ofiq_2026/FlickrFacesHQ/test/02006.png,25.543121,126.586847,0.575758,0.28178,0.02397,0.125516,0.0,7.219243,32,0.996225,4.58279,0.0,0.059724,0.15376,0.019585,0.0,0.067118,247.996063,0.464726,2.61137,2.619633,1.039169,1.114898,-12.605211,-1.431195,-0.491274,-8302.446289,0.0,73,45,85,84,96,100,100,90,98,100,77,100,98,68,98,100,93,100,85,100,100,3,0,95,100,100,34,100,334,-17.23897060876698,-7.364077926271175,-4.593329169878,-0.5797603424342694,-13.330643686097762,0.6872636604432969,0.1444794873638283,0.10589232724157835,0.03590672226364925,0.04535923624758412,0.11090429518728044,0.28102967107387083
C:/Users/Eddy/Downloads/images_for_ofiq_2026/FlickrFacesHQ/test/02007.png,23.113678,123.338966,0.278367,0.350579,0.044528,0.114799,0.0,7.556503,22,0.999715,0.0,0.0,0.034396,0.00727,0.520516,0.0,0.12491,250.505974,0.424809,2.541967,2.549961,1.112632,1.241366,2.832511,6.957729,-0.062596,-5443.938965,0.0,51,46,68,95,75,100,100,94,94,100,100,100,81,96,48,100,88,100,75,100,100,5,0,100,99,100,48,100,347,-27.16430985003637,14.385013984321414,44.824492978144725,-3.007396743052843,-3.3447802034936647,-1.3744687478892064,0.05352799340288353,0.3433387884939219,0.4946071187649688,0.023175987875512973,0.19095253795930797,0.2585821066741187
C:/Users/Eddy/Downloads/images_for_ofiq_2026/FlickrFacesHQ/test/02008.png,25.474689,105.3281,0.724898,0.134148,0.009108,0.434142,0.0,6.364038,-43,0.995343,0.154871,0.0,0.076475,0.031912,0.0,0.0,0.030649,245.44762,0.4025,2.583673,2.595918,1.200947,1.283436,-3.460819,2.331234,0.1535,-12258.40527,0.316798,72,53,91,21,90,100,100,80,6,100,99,100,100,94,100,100,97,100,56,100,100,12,1,100,100,100,19,9,314,46.77629878319118,-6.346075436736776,-7.626935622776015,-1.4599506100191544,16.911161308563496,-2.204043371557861,0.7310875866922599,0.11700640454097548,0.007748531103277417,0.03731623635042486,0.3533273317423191,0.24954993076518805
C:/Users/Eddy/Downloads/images_for_ofiq_2026/FlickrFacesHQ/test/02009.png,21.299221,135.451289,0.526786,0.386382,0.021556,0.033661,0.0,7.175906,40,0.986884,0.0,0.0,0.058687,0.059446,0.0,0.0,0.027692,250.680163,0.442329,2.936578,2.974964,1.080788,1.182457,-33.761141,-10.091774,-2.210883,-605.463806,0.0,34,42,83,98,98,100,100,90,99,100,100,100,98,91,100,100,97,100,92,100,100,4,0,69,97,100,71,100,312,-31.085689837226678,-8.212279284425936,-7.626935622776015,-1.4599506100191544,-19.40578902455003,4.281072279919554,0.01759417194310492,0.09663205965196053,0.007748531103277417,0.03731623635042486,0.06220498042346986,0.3201580517017546
