Filename,UnifiedQualityScore,BackgroundUniformity,IlluminationUniformity,LuminanceMean,LuminanceVariance,UnderExposurePrevention,OverExposurePrevention,DynamicRange,Sharpness,CompressionArtifacts,NaturalColour,SingleFacePresent,EyesOpen,MouthClosed,EyesVisible,MouthOcclusionPrevention,FaceOcclusionPrevention,InterEyeDistance,HeadSize,LeftwardCropOfTheFaceImage,RightwardCropOfTheFaceImage,MarginAboveOfTheFaceImage,MarginBelowOfTheFaceImage,HeadPoseYaw,HeadPosePitch,HeadPoseRoll,ExpressionNeutrality,NoHeadCoverings,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,CompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfTheFaceImage.scalar,RightwardCropOfTheFaceImage.scalar,MarginAboveOfTheFaceImage.scalar,MarginBelowOfTheFaceImage.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,assessment_time_in_ms,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,quality_score_0_100
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000001.jpg,22.623146,44.810166,0.450572,0.52622,0.053256,0.047974,0.001819,7.74123,47,0.874958,0.0,0.0,0.088036,0.1001,0.0,0.0,0.025927,84.881155,0.222442,3.172202,3.120411,1.217743,3.280049,-24.508384,21.576672,13.574823,-11226.68262,0.0,46,79,79,99,68,100,85,97,100,100,100,100,100,84,100,100,97,68,2,100,100,14,100,83,86,94,22,100,331,1.0739283362128065,-1.023041283087213,-0.8383385543033711,1.3547431334809894,-0.9947100263195916,0.8104856151998138,-0.6276057183207976,-0.9881315068791077,0.339947789343788,-0.14727049415861546,0.11628456021968099,-0.18868026218904738,-0.15324822220148293,0.7233075633270452,-0.18644991199259964,-0.6965778602260588,84.71948164029412
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000002.jpg,24.552317,50.809587,0.617998,0.333734,0.032079,0.107716,0.0,7.47428,46,0.935663,0.0,0.0,0.095663,0.142833,0.0,0.0,0.009048,82.989868,0.247797,2.843197,3.64812,1.426461,2.608385,-21.85375,9.131872,1.990064,-15189.34473,0.0,64,76,87,94,88,100,100,93,100,100,100,100,100,72,100,100,99,66,3,100,100,57,100,86,97,100,12,100,299,1.6053769127466349,-1.3842561146660255,-0.31659735658545396,0.783914810400108,0.47514485023517783,0.19752676625541649,-0.322898058514818,-0.8590394252974055,-0.3738912172685936,-0.2030012547584091,0.2016720042756524,0.2773945538265963,-0.4317468669948748,0.40857318345406995,0.14859019482032867,0.4673898724188674,86.54984486161175
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000003.jpg,13.41284,49.806422,0.279778,0.210248,0.004634,0.004886,0.0,5.370378,41,0.901839,0.0,0.0,0.028303,0.11571,0.136555,0.038073,0.106693,36.192206,0.206314,14.555556,14.222222,1.793904,3.053086,60.175522,32.607289,-33.413351,-6607.427734,0.0,2,76,68,55,63,100,100,67,99,100,100,100,70,80,86,96,89,16,2,100,100,98,100,25,71,70,42,100,325,-1.2566123022169402,-3.3033521666781693,0.9688327122634366,-1.0035432877491355,-0.9839319557289692,-0.5351277358974684,-0.3272030129284638,-0.591802343149317,-0.5695482650806951,-0.6965282287737146,0.11776707580742156,-0.964828885147321,0.1542809920797163,-0.047699858645696494,-0.9974818678925623,0.5080486084302115,68.34888169811293
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000004.jpg,16.202539,3.545302,0.387097,0.361539,0.023819,0.026982,0.0,7.200936,47,0.946074,0.0,0.0,0.022249,0.005406,0.589542,0.017868,0.157729,247.714384,0.150136,4.775799,4.222505,1.411058,5.249569,33.720076,30.436916,-18.502734,2006.98291,0.0,7,98,75,96,96,100,100,90,100,100,100,100,56,96,41,98,84,100,0,100,100,53,100,69,74,90,80,100,353,0.08743891754014539,-1.664895865257662,-2.3687721535104598,-1.7443609104210676,-0.5890541789203579,0.4485006563668929,-0.2785469674673991,0.2682750534170376,0.405218271265742,0.30777666940858445,1.7126366445892232,-0.25056866867096683,-0.8699064844912414,-0.33472118843486237,0.049692206444435026,0.29825253724699424,76.11891434037572
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000005.jpg,15.857387,95.969044,0.018006,0.426675,0.05915,0.170158,0.0,7.243264,36,0.892032,0.0,0.0,0.087283,0.040459,0.0,0.0,0.000598,54.988196,0.094625,6.008495,6.155044,2.13664,8.431413,-6.904843,-20.320152,4.516731,7481.671387,0.0,6,57,30,99,64,100,100,91,98,100,100,100,100,93,100,100,100,32,0,100,100,100,100,99,88,99,92,100,312,1.0428302206738618,-2.643797499608869,-0.3607942378598237,0.7138590652984927,-1.8204526385029343,-0.39278707842150445,0.07771641414101473,0.14542750639532173,-0.19110757139550802,-0.36137813455261497,-0.4819124357693405,-0.917670667295266,-0.682811693983037,-0.06673497635038914,-0.9016113081238747,0.48871502919498166,77.37423941654386
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000006.jpg,23.973375,92.086371,0.078972,0.269765,0.019177,0.114222,0.0,7.105316,46,0.894451,0.0,0.0,0.091633,0.095337,0.0,0.0,0.006046,60.784451,0.180082,4.416229,3.594605,1.549723,4.029279,16.030332,7.462046,-8.441428,-2797.20166,0.0,59,58,47,80,99,100,100,89,100,100,100,100,100,85,100,100,99,39,1,100,100,82,100,92,98,98,61,100,328,1.5833778312423588,-1.9867948941646114,0.08751485779626261,0.3067685485989045,0.34089126118593766,0.02669993890060375,0.37607793137297735,0.11196160027751685,-0.30575188290790234,-0.27842000897174396,0.004715996229346531,0.5435492120463393,0.05693156913461892,-0.36953357299586875,0.0776533935422364,0.39040674183653773,85.7503961795719
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000007.jpg,29.405861,152.241272,0.577932,0.301773,0.025058,0.098997,0.0,7.298881,45,0.910794,0.0,0.0,0.081817,0.007198,0.0,0.0,0.006547,76.672853,0.277872,2.652519,2.704785,1.43747,2.174263,-3.48532,6.804017,5.566035,7169.558105,0.0,92,37,85,88,95,100,100,91,100,100,100,100,100,96,100,100,99,58,6,100,100,59,98,100,99,99,92,100,307,1.8585676713067802,-1.100537122363462,0.2397110273968271,0.6491330899578616,0.2215163289961284,0.8615889243691378,0.9327637176248168,0.7931981863549528,0.07476591633454789,-0.28025617010969545,-0.27399351482939177,1.2614188949102798,-0.14386518927518696,0.2887788376845001,0.10714653392699293,0.20000679563403545,92.25928038927431
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000008.jpg,26.958624,49.21778,0.505859,0.298558,0.01953,0.065166,0.0,7.152036,44,0.907229,0.0,0.515103,0.081567,0.0,0.0,0.0,0.016395,67.275811,0.132988,5.231291,5.506622,1.743687,5.803868,-13.649272,15.368692,-3.564831,11554.8877,0.0,82,77,82,88,99,100,100,89,99,100,100,48,100,97,100,100,98,47,0,100,100,97,100,94,93,100,96,100,314,0.8626671613416848,-2.6980471073186463,0.3949588497355456,1.9729581106216967,2.166972809197439,0.9020378207701549,2.6470836626194796,1.4435251415681456,0.9936003262848989,1.8580098159183263,0.932864314045011,-2.6887272321312246,0.23120474996771873,0.6451532363461591,1.8575429579821265,0.6460658488470198,92.30507063392376
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000009.jpg,25.166595,54.641288,0.338843,0.27597,0.01592,0.083456,1.9e-05,6.992426,48,0.930779,0.0,0.0,0.090551,0.079692,0.0,0.0,0.017608,139.523104,0.119044,6.265979,4.606902,1.894139,6.50559,14.604843,14.024569,-2.002652,-15240.16699,0.0,70,74,72,82,100,100,100,87,100,100,100,100,100,88,100,100,98,97,0,100,100,99,100,94,94,100,11,100,346,1.6506208982718353,-1.5173834469723613,0.18893012299734255,0.12612024747284836,0.38100714900478366,0.40699230009745807,0.0687059605513451,0.2613509447955576,-0.16943489211704643,0.3494870818895952,0.3523760011308555,0.6138125975946521,0.0989278654606333,-0.36792306339924546,0.1407574923495685,1.5480471338250454,88.78384184544106
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000010.jpg,25.935026,14.354215,0.166531,0.238355,0.021109,0.224361,0.0,7.006002,42,0.917931,0.0,0.0,0.093173,0.007315,0.0,0.0,0.079083,79.573477,0.230157,3.257411,2.993296,1.572,2.791402,2.270514,6.650193,7.810254,-4111.684082,0.0,76,93,58,68,98,100,100,88,99,100,100,100,100,96,100,100,92,62,2,100,100,85,100,100,99,98,54,100,304,1.5112708597039757,-1.9391637165172997,0.3709326113812057,-0.36897337659062146,0.3197178662598368,0.7435869420194405,-0.20437259282226547,0.2362528250284198,0.19405163422610705,0.8802089286951699,0.5616306824478987,0.5862718868076198,0.25590274655441525,-0.12115662385193642,0.11033332266521992,0.7179395900892398,87.50984552152113
